"test_group","day_of_week","hour_of_day","total_users","conversions","conversion_rate_pct"
"ad","Friday",0,"807","16","1.9827"
"ad","Friday",1,"662","7","1.0574"
"ad","Friday",2,"825","10","1.2121"
"ad","Friday",3,"515","2","0.3883"
"ad","Friday",4,"118","2","1.6949"
"ad","Friday",5,"129","2","1.5504"
"ad","Friday",6,"330","4","1.2121"
"ad","Friday",7,"1018","19","1.8664"
"ad","Friday",8,"2358","39","1.6539"
"ad","Friday",9,"4282","86","2.0084"
"ad","Friday",10,"5353","124","2.3165"
"ad","Friday",11,"6927","124","1.7901"
"ad","Friday",12,"6949","136","1.9571"
"ad","Friday",13,"7166","166","2.3165"
"ad","Friday",14,"6622","163","2.4615"
"ad","Friday",15,"6650","176","2.6466"
"ad","Friday",16,"5523","153","2.7702"
"ad","Friday",17,"5027","108","2.1484"
"ad","Friday",18,"4839","116","2.3972"
"ad","Friday",19,"4593","95","2.0684"
"ad","Friday",20,"4465","135","3.0235"
"ad","Friday",21,"4933","144","2.9191"
"ad","Friday",22,"4737","100","2.1110"
"ad","Friday",23,"3977","68","1.7098"
"ad","Monday",0,"820","14","1.7073"
"ad","Monday",1,"531","9","1.6949"
"ad","Monday",2,"709","5","0.7052"
"ad","Monday",3,"316","4","1.2658"
"ad","Monday",4,"88","0","0.0000"
"ad","Monday",5,"92","3","3.2609"
"ad","Monday",6,"262","11","4.1985"
"ad","Monday",7,"760","14","1.8421"
"ad","Monday",8,"2412","82","3.3997"
"ad","Monday",9,"4365","116","2.6575"
"ad","Monday",10,"5159","157","3.0432"
"ad","Monday",11,"6433","210","3.2644"
"ad","Monday",12,"6744","224","3.3215"
"ad","Monday",13,"6678","232","3.4741"
"ad","Monday",14,"6039","271","4.4875"
"ad","Monday",15,"6357","273","4.2945"
"ad","Monday",16,"5592","209","3.7375"
"ad","Monday",17,"5432","195","3.5898"
"ad","Monday",18,"5038","140","2.7789"
"ad","Monday",19,"4449","136","3.0569"
"ad","Monday",20,"4567","148","3.2406"
"ad","Monday",21,"4244","144","3.3930"
"ad","Monday",22,"3934","118","2.9995"
"ad","Monday",23,"2550","63","2.4706"
"ad","Saturday",0,"763","18","2.3591"
"ad","Saturday",1,"819","7","0.8547"
"ad","Saturday",2,"900","4","0.4444"
"ad","Saturday",3,"362","4","1.1050"
"ad","Saturday",4,"79","0","0.0000"
"ad","Saturday",5,"88","5","5.6818"
"ad","Saturday",6,"252","13","5.1587"
"ad","Saturday",7,"727","17","2.3384"
"ad","Saturday",8,"2150","50","2.3256"
"ad","Saturday",9,"3645","60","1.6461"
"ad","Saturday",10,"4867","79","1.6232"
"ad","Saturday",11,"5760","84","1.4583"
"ad","Saturday",12,"5852","108","1.8455"
"ad","Saturday",13,"6056","121","1.9980"
"ad","Saturday",14,"5849","118","2.0174"
"ad","Saturday",15,"5869","128","2.1810"
"ad","Saturday",16,"5223","104","1.9912"
"ad","Saturday",17,"4850","109","2.2474"
"ad","Saturday",18,"4368","112","2.5641"
"ad","Saturday",19,"4445","119","2.6772"
"ad","Saturday",20,"4593","111","2.4167"
"ad","Saturday",21,"4542","146","3.2144"
"ad","Saturday",22,"3904","99","2.5359"
"ad","Saturday",23,"2839","63","2.2191"
"ad","Sunday",0,"910","15","1.6484"
"ad","Sunday",1,"684","12","1.7544"
"ad","Sunday",2,"688","4","0.5814"
"ad","Sunday",3,"368","7","1.9022"
"ad","Sunday",4,"100","2","2.0000"
"ad","Sunday",5,"126","2","1.5873"
"ad","Sunday",6,"277","2","0.7220"
"ad","Sunday",7,"1089","22","2.0202"
"ad","Sunday",8,"2627","43","1.6368"
"ad","Sunday",9,"4041","66","1.6333"
"ad","Sunday",10,"5545","103","1.8575"
"ad","Sunday",11,"6525","113","1.7318"
"ad","Sunday",12,"6275","126","2.0080"
"ad","Sunday",13,"6212","122","1.9639"
"ad","Sunday",14,"6983","142","2.0335"
"ad","Sunday",15,"6609","150","2.2696"
"ad","Sunday",16,"5383","148","2.7494"
"ad","Sunday",17,"5077","160","3.1515"
"ad","Sunday",18,"4810","144","2.9938"
"ad","Sunday",19,"4520","161","3.5619"
"ad","Sunday",20,"3733","163","4.3665"
"ad","Sunday",21,"3705","136","3.6707"
"ad","Sunday",22,"3344","104","3.1100"
"ad","Sunday",23,"2701","80","2.9619"
"ad","Thursday",0,"708","18","2.5424"
"ad","Thursday",1,"691","13","1.8813"
"ad","Thursday",2,"683","9","1.3177"
"ad","Thursday",3,"363","2","0.5510"
"ad","Thursday",4,"109","3","2.7523"
"ad","Thursday",5,"91","2","2.1978"
"ad","Thursday",6,"285","6","2.1053"
"ad","Thursday",7,"1005","16","1.5920"
"ad","Thursday",8,"2722","41","1.5062"
"ad","Thursday",9,"4404","70","1.5895"
"ad","Thursday",10,"4945","85","1.7189"
"ad","Thursday",11,"5171","118","2.2820"
"ad","Thursday",12,"5892","115","1.9518"
"ad","Thursday",13,"6374","124","1.9454"
"ad","Thursday",14,"6543","167","2.5523"
"ad","Thursday",15,"5980","147","2.4582"
"ad","Thursday",16,"5523","145","2.6254"
"ad","Thursday",17,"4801","103","2.1454"
"ad","Thursday",18,"4303","98","2.2775"
"ad","Thursday",19,"3970","96","2.4181"
"ad","Thursday",20,"3801","109","2.8677"
"ad","Thursday",21,"4222","88","2.0843"
"ad","Thursday",22,"3680","80","2.1739"
"ad","Thursday",23,"2811","56","1.9922"
"ad","Tuesday",0,"713","14","1.9635"
"ad","Tuesday",1,"632","9","1.4241"
"ad","Tuesday",2,"728","4","0.5495"
"ad","Tuesday",3,"336","7","2.0833"
"ad","Tuesday",4,"100","2","2.0000"
"ad","Tuesday",5,"76","1","1.3158"
"ad","Tuesday",6,"221","5","2.2624"
"ad","Tuesday",7,"729","16","2.1948"
"ad","Tuesday",8,"2412","44","1.8242"
"ad","Tuesday",9,"4440","105","2.3649"
"ad","Tuesday",10,"5773","122","2.1133"
"ad","Tuesday",11,"6481","176","2.7156"
"ad","Tuesday",12,"6588","205","3.1117"
"ad","Tuesday",13,"6491","210","3.2352"
"ad","Tuesday",14,"6371","230","3.6101"
"ad","Tuesday",15,"5656","233","4.1195"
"ad","Tuesday",16,"4103","187","4.5576"
"ad","Tuesday",17,"4084","144","3.5260"
"ad","Tuesday",18,"3621","131","3.6178"
"ad","Tuesday",19,"3298","94","2.8502"
"ad","Tuesday",20,"3397","92","2.7083"
"ad","Tuesday",21,"3898","93","2.3858"
"ad","Tuesday",22,"2639","91","3.4483"
"ad","Tuesday",23,"1785","55","3.0812"
"ad","Wednesday",0,"588","7","1.1905"
"ad","Wednesday",1,"596","5","0.8389"
"ad","Wednesday",2,"619","3","0.4847"
"ad","Wednesday",3,"330","1","0.3030"
"ad","Wednesday",4,"100","2","2.0000"
"ad","Wednesday",5,"140","1","0.7143"
"ad","Wednesday",6,"358","5","1.3966"
"ad","Wednesday",7,"840","10","1.1905"
"ad","Wednesday",8,"2287","38","1.6616"
"ad","Wednesday",9,"4625","79","1.7081"
"ad","Wednesday",10,"5812","148","2.5465"
"ad","Wednesday",11,"6852","167","2.4372"
"ad","Wednesday",12,"6938","178","2.5656"
"ad","Wednesday",13,"6508","165","2.5353"
"ad","Wednesday",14,"5372","160","2.9784"
"ad","Wednesday",15,"5734","172","2.9997"
"ad","Wednesday",16,"4616","165","3.5745"
"ad","Wednesday",17,"4334","140","3.2303"
"ad","Wednesday",18,"4073","112","2.7498"
"ad","Wednesday",19,"3894","81","2.0801"
"ad","Wednesday",20,"3290","85","2.5836"
"ad","Wednesday",21,"3351","92","2.7454"
"ad","Wednesday",22,"3277","83","2.5328"
"ad","Wednesday",23,"2884","64","2.2191"
"psa","Friday",0,"34","0","0.0000"
"psa","Friday",1,"29","0","0.0000"
"psa","Friday",2,"25","0","0.0000"
"psa","Friday",3,"27","0","0.0000"
"psa","Friday",4,"4","0","0.0000"
